n,k,y,x,l2_request.all,l2_request.miss,miss_to_all_ratio
6000,192,3,2,4224828072,1472478911,34
6000,384,3,2,8211531372,2749001737,33
6000,768,3,2,15983729515,5172597176,32
1000,24,2,3,146608087,105211385,71
1000,48,2,3,159777673,105469659,66
1000,96,2,3,187317840,115839290,61
1000,192,2,3,239805663,127114911,53
1000,384,2,3,343797837,148211651,43
1000,768,2,3,551105952,190090449,34
2000,24,2,3,208562593,117685910,56
2000,48,2,3,261168420,135751313,51
2000,96,2,3,365115773,156949716,42
2000,192,2,3,571722192,198757674,34
2000,384,2,3,985887712,282067228,28
2000,768,2,3,1826735512,460318074,25
3000,24,2,3,318419084,155856450,48
3000,48,2,3,437437849,182831178,41
3000,96,2,3,666970445,228642893,34
3000,192,2,3,1123427090,319258266,28
3000,384,2,3,2041219337,504368895,24
3000,768,2,3,3986203140,966346760,24
4000,24,2,3,503936303,243796956,48
4000,48,2,3,703880653,283872954,40
4000,96,2,3,1107430078,365604518,33
4000,192,2,3,1895181678,513358828,27
4000,384,2,3,3569506343,890071000,24
4000,768,2,3,6957444513,1661297666,23
5000,24,2,3,742697850,329383251,44
5000,48,2,3,1061363058,394992627,37
5000,96,2,3,1684279393,512030524,30
5000,192,2,3,2911333684,728425430,25
5000,384,2,3,5595607255,1352032812,24
5000,768,2,3,10978170023,2571140190,23
6000,24,2,3,1010838847,469301247,46
6000,48,2,3,1525074146,603069493,39
6000,96,2,3,2459703615,769870264,31
6000,192,2,3,4462937994,1203451581,26
6000,384,2,3,8163222304,1971283658,24
6000,768,2,3,16213265999,3849247833,23
1000,24,3,3,143715528,104882269,72
1000,48,3,3,154815404,106030605,68
1000,96,3,3,177120096,115612450,65
1000,192,3,3,218523781,127069004,58
1000,384,3,3,301704045,147939319,49
1000,768,3,3,467099482,189534793,40
2000,24,3,3,197818818,117039797,59
2000,48,3,3,240762377,135749065,56
2000,96,3,3,323543319,156846080,48
2000,192,3,3,489014505,198940072,40
2000,384,3,3,819274010,281829609,34
2000,768,3,3,1499056082,464746043,31
3000,24,3,3,293155163,154568002,52
3000,48,3,3,390730593,182353726,46
3000,96,3,3,572663979,227533724,39
3000,192,3,3,941153417,320588820,34
3000,384,3,3,1679823809,508469707,30
3000,768,3,3,3251555258,965081858,29
4000,24,3,3,466811194,245308661,52
4000,48,3,3,627198486,283641205,45
4000,96,3,3,958982653,369719246,38
4000,192,3,3,1601710410,530438477,33
4000,384,3,3,2932982382,889038321,30
4000,768,3,3,5663487888,1659401389,29
5000,24,3,3,691126137,338160746,48
5000,48,3,3,953990354,404686886,42
5000,96,3,3,1487376807,543571938,36
5000,192,3,3,2519614642,802207552,31
5000,384,3,3,4675879438,1369899715,29
5000,768,3,3,8933707800,2556916752,28
6000,24,3,3,946228395,486915563,51
6000,48,3,3,1355444834,601886567,44
6000,96,3,3,2144693689,803301761,37
6000,192,3,3,3707311495,1216241544,32
6000,384,3,3,6932278074,2096783979,30
6000,768,3,3,13638983147,4101281245,30
1000,24,2,4,144802353,105158843,72
