n,k,y,x,l2_request.all,l2_request.miss,miss_to_all_ratio
3000,768,3,3,3251555258.0,965081858.0,29.0
4000,24,2,1,628165177.0,292508773.0,46.0
4000,24,2,2,497545590.0,228671121.0,45.0
4000,24,2,3,503936303.0,243796956.0,48.0
4000,24,2,4,474260733.0,226465521.0,47.0
4000,24,3,1,590030586.0,293216273.0,49.0
4000,24,3,2,454944825.0,226740898.0,49.0
4000,24,3,3,466811194.0,245308661.0,52.0
4000,48,2,1,992584305.0,423024932.0,42.0
4000,48,2,2,735098598.0,288619167.0,39.0
4000,48,2,3,703880653.0,283872954.0,40.0
4000,48,2,4,663155769.0,260376643.0,39.0
4000,48,3,1,910081305.0,420431611.0,46.0
4000,48,3,2,654743157.0,288538341.0,44.0
4000,48,3,3,627198486.0,283641205.0,45.0
4000,96,2,1,1702168336.0,660269181.0,38.0
4000,96,2,2,1215896042.0,409613415.0,33.0
4000,96,2,3,1107430078.0,365604518.0,33.0
4000,96,2,4,1033049751.0,323636296.0,31.0
4000,96,3,1,1545952377.0,661318827.0,42.0
4000,96,3,2,1053982972.0,409148062.0,38.0
4000,96,3,3,958982653.0,369719246.0,38.0
4000,192,2,1,3141514000.0,1146793277.0,36.0
4000,192,2,2,2172537724.0,650092138.0,29.0
4000,192,2,3,1895181678.0,513358828.0,27.0
4000,192,2,4,1781611618.0,456898667.0,25.0
4000,192,3,1,2819574412.0,1144102262.0,40.0
4000,192,3,2,1855342572.0,650593543.0,35.0
4000,192,3,3,1601710410.0,530438477.0,33.0
4000,384,2,1,6549356366.0,2295494822.0,35.0
4000,384,2,2,4202950314.0,1158806940.0,27.0
4000,384,2,3,3569506343.0,890071000.0,24.0
4000,384,2,4,3273986178.0,720903921.0,22.0
4000,384,3,1,5577427155.0,2136799601.0,38.0
4000,384,3,2,3508000611.0,1178736733.0,33.0
4000,384,3,3,2932982382.0,889038321.0,30.0
4000,768,2,1,13321367840.0,4593608248.0,34.0
4000,768,2,2,9087530801.0,2357054905.0,25.0
4000,768,2,3,6957444513.0,1661297666.0,23.0
4000,768,2,4,6364414932.0,1335198756.0,20.0
4000,768,3,1,10868881429.0,4497797412.0,41.0
4000,768,3,2,7176384531.0,2349116073.0,32.0
4000,768,3,3,5663487888.0,1659401389.0,29.0
5000,24,2,1,914292516.0,386078534.0,42.0
5000,24,2,2,706535612.0,278711662.0,39.0
5000,24,2,3,742697850.0,329383251.0,44.0
5000,24,2,4,698888473.0,310438374.0,44.0
5000,24,3,1,855229912.0,388023914.0,45.0
5000,24,3,2,633049469.0,270550263.0,42.0
5000,24,3,3,691126137.0,338160746.0,48.0
5000,48,2,1,1474149438.0,574686866.0,38.0
5000,48,2,2,1069293859.0,367146049.0,34.0
5000,48,2,3,1061363058.0,394992627.0,37.0
5000,48,2,4,1002084968.0,359423613.0,35.0
5000,48,3,1,1351808000.0,575856200.0,42.0
5000,48,3,2,946578544.0,366318770.0,38.0
5000,48,3,3,953990354.0,404686886.0,42.0
5000,96,2,1,2593244610.0,950452198.0,36.0
5000,96,2,2,1825217432.0,564340044.0,30.0
5000,96,2,3,1684279393.0,512030524.0,30.0
5000,96,2,4,1588758937.0,462462332.0,29.0
5000,96,3,1,2348014245.0,952426625.0,40.0
5000,96,3,2,1568669339.0,556473686.0,35.0
5000,96,3,3,1487376807.0,543571938.0,36.0
5000,192,2,1,4877952352.0,1702042931.0,34.0
5000,192,2,2,3325755805.0,933710220.0,28.0
5000,192,2,3,2911333684.0,728425430.0,25.0
5000,192,2,4,2783782778.0,675298132.0,24.0
5000,192,3,1,4336533242.0,1703653119.0,39.0
5000,192,3,2,2818590434.0,932687283.0,33.0
5000,192,3,3,2519614642.0,802207552.0,31.0
5000,384,2,1,10384918898.0,3445899552.0,33.0
5000,384,2,2,6973517917.0,1772552463.0,25.0
5000,384,2,3,5595607255.0,1352032812.0,24.0
5000,384,2,4,5343456588.0,1210844975.0,22.0
5000,384,3,1,8793546457.0,3574288800.0,40.0
5000,384,3,2,5466976366.0,1786780269.0,32.0
5000,384,3,3,4675879438.0,1369899715.0,29.0
5000,768,2,1,20782458737.0,7206996439.0,34.0
5000,768,2,2,14216880300.0,3474650522.0,24.0
5000,768,2,3,10978170023.0,2571140190.0,23.0
5000,768,2,4,10829808892.0,2443409953.0,22.0
5000,768,3,1,16496277153.0,6964766827.0,42.0
5000,768,3,2,10945742281.0,3558854151.0,32.0
5000,768,3,3,8933707800.0,2556916752.0,28.0
6000,24,2,1,1290975349.0,579610653.0,44.0
6000,24,2,2,967736701.0,402298935.0,41.0
6000,24,2,3,1010838847.0,469301247.0,46.0
6000,24,2,4,991019899.0,454279152.0,45.0
6000,24,3,1,1190755572.0,567647624.0,47.0
6000,24,3,2,883060917.0,403589551.0,45.0
6000,24,3,3,946228395.0,486915563.0,51.0
6000,48,2,1,2086361634.0,837975721.0,40.0
6000,48,2,2,1511078988.0,538363695.0,35.0
6000,48,2,3,1525074146.0,603069493.0,39.0
6000,48,2,4,1478230294.0,557269752.0,37.0
6000,48,3,1,1910147092.0,837775495.0,43.0
6000,48,3,2,1340006711.0,540944861.0,40.0
6000,48,3,3,1355444834.0,601886567.0,44.0
6000,96,2,1,3697152496.0,1380741721.0,37.0
6000,96,2,2,2586121831.0,809646666.0,31.0
6000,96,2,3,2459703615.0,769870264.0,31.0
6000,96,2,4,2457870451.0,793188313.0,32.0
6000,96,3,1,3347075508.0,1379265936.0,41.0
6000,96,3,2,2288670585.0,847161464.0,37.0
6000,96,3,3,2144693689.0,803301761.0,37.0
6000,192,2,1,6953587288.0,2465186744.0,35.0
6000,192,2,2,5083794304.0,1422242162.0,27.0
6000,192,2,3,4462937994.0,1203451581.0,26.0
6000,192,2,4,4403079225.0,1202689814.0,27.0
6000,192,3,1,6595385583.0,2708783530.0,41.0
6000,192,3,2,4224828072.0,1472478911.0,34.0
6000,192,3,3,3707311495.0,1216241544.0,32.0
6000,384,2,1,14919834734.0,5178011711.0,34.0
6000,384,2,2,10233505228.0,2646613796.0,25.0
6000,384,2,3,8163222304.0,1971283658.0,24.0
6000,384,2,4,8120862548.0,1966906431.0,24.0
6000,384,3,1,12679464029.0,5177217269.0,40.0
6000,384,3,2,8211531372.0,2749001737.0,33.0
6000,384,3,3,6932278074.0,2096783979.0,30.0
6000,768,2,1,29706446332.0,10215222328.0,34.0
6000,768,2,2,20781271663.0,5432684702.0,26.0
6000,768,2,3,16213265999.0,3849247833.0,23.0
6000,768,2,4,16280685423.0,3752266765.0,23.0
6000,768,3,1,23702107505.0,9966788360.0,42.0
6000,768,3,2,15983729515.0,5172597176.0,32.0
6000,768,3,3,13638983147.0,4101281245.0,30.0
